channel,start_position,test_type,f_stat,p_value,p_adj,reject
019,31,"ANOVA (Bonferroni, Pingouin)",3.3348387327953692,0.007046778254837957,0.035233891274189785,True
019,32,"ANOVA (Bonferroni, Pingouin)",5.105669034913009,0.00028735693455265353,0.0014367846727632676,True
019,33,"ANOVA (Bonferroni, Pingouin)",1.3865060866710743,0.23373805512924456,1.0,False
019,34,"ANOVA (Bonferroni, Pingouin)",1.6879830592084977,0.14206286231388152,0.7103143115694076,False
019,35,"ANOVA (Bonferroni, Pingouin)",1.1711703847317252,0.32714973228127503,1.0,False
019,36,"ANOVA (Bonferroni, Pingouin)",0.7036051942982432,0.621749281272604,1.0,False
023,31,"ANOVA (Bonferroni, Pingouin)",1.6186705301684723,0.1588148141049526,0.794074070524763,False
023,32,"ANOVA (Bonferroni, Pingouin)",4.068256608690023,0.001938589450093262,0.00969294725046631,True
023,33,"ANOVA (Bonferroni, Pingouin)",0.5410457559335803,0.744854942467454,1.0,False
023,34,"ANOVA (Bonferroni, Pingouin)",2.3332416560688523,0.045850631242217554,0.22925315621108777,False
023,35,"ANOVA (Bonferroni, Pingouin)",2.235578327511699,0.05484872335158449,0.27424361675792247,False
023,36,"ANOVA (Bonferroni, Pingouin)",0.7328736802456898,0.6001049911697738,1.0,False
029,31,"ANOVA (Bonferroni, Pingouin)",2.3719141803050277,0.042166453228585234,0.21083226614292616,False
029,32,"ANOVA (Bonferroni, Pingouin)",3.08685973885612,0.011845836438537916,0.05922918219268958,False
029,33,"ANOVA (Bonferroni, Pingouin)",3.5152785017412564,0.005221159978848064,0.02610579989424032,True
029,34,"ANOVA (Bonferroni, Pingouin)",1.2766944046258522,0.2779523418196209,1.0,False
029,35,"ANOVA (Bonferroni, Pingouin)",0.9714239250869066,0.43803986587411303,1.0,False
029,36,"ANOVA (Bonferroni, Pingouin)",1.7369966961272367,0.13085523857431694,0.6542761928715847,False
030,31,"ANOVA (Bonferroni, Pingouin)",5.089422095398599,0.00025342164991172533,0.0012671082495586267,True
030,32,"ANOVA (Bonferroni, Pingouin)",2.3256739722327895,0.04712955630185801,0.23564778150929003,False
030,33,"ANOVA (Bonferroni, Pingouin)",5.812267900807937,7.283328000071828e-05,0.00036416640000359136,True
030,34,"ANOVA (Bonferroni, Pingouin)",1.0181901999226695,0.4097643884592449,1.0,False
030,35,"ANOVA (Bonferroni, Pingouin)",0.7456286382929967,0.5907893760372347,1.0,False
030,36,"ANOVA (Bonferroni, Pingouin)",2.366982418651823,0.0432426724554751,0.21621336227737548,False
043,31,"ANOVA (Bonferroni, Pingouin)",2.7295184337134417,0.021863011366236525,0.10931505683118263,False
043,32,"ANOVA (Bonferroni, Pingouin)",0.16599310788240992,0.9745703382966285,1.0,False
043,33,"ANOVA (Bonferroni, Pingouin)",1.1277058242123175,0.3491311264309155,1.0,False
043,34,"ANOVA (Bonferroni, Pingouin)",1.3707360742650794,0.23958486866091508,1.0,False
043,35,"ANOVA (Bonferroni, Pingouin)",1.8571497047780632,0.10662950877832138,0.5331475438916069,False
043,36,"ANOVA (Bonferroni, Pingouin)",1.3850506061540084,0.2342835022258795,1.0,False
045,31,"ANOVA (Bonferroni, Pingouin)",2.0572103980049645,0.07426537333623368,0.3713268666811684,False
045,32,"ANOVA (Bonferroni, Pingouin)",2.86936866545316,0.017639099141312745,0.08819549570656372,False
045,33,"ANOVA (Bonferroni, Pingouin)",0.528114660417757,0.7546387944014644,1.0,False
045,34,"ANOVA (Bonferroni, Pingouin)",0.4630622981133402,0.8031262022219243,1.0,False
045,35,"ANOVA (Bonferroni, Pingouin)",3.643524878176339,0.00413597260464804,0.0206798630232402,True
045,36,"ANOVA (Bonferroni, Pingouin)",1.7296110341433104,0.1325089989394453,0.6625449946972264,False
